timestamp,open,high,low,close,volume
2026-03-30 00:00:00+00:00,65957.6015625,66876.328125,65773.0546875,66259.03125,59602944
2026-03-30 01:00:00+00:00,66234.484375,66751.1875,66234.484375,66585.34375,540108800
2026-03-30 02:00:00+00:00,66579.6796875,67286.265625,66550.625,67039.9296875,970250240
2026-03-30 03:00:00+00:00,67087.5078125,67224.9609375,66934.859375,67106.546875,993060864
2026-03-30 04:00:00+00:00,67091.390625,67561.2578125,67091.390625,67541.890625,1237766144
2026-03-30 05:00:00+00:00,67559.140625,67655.2265625,67402.3515625,67476.421875,799993856
2026-03-30 06:00:00+00:00,67452.453125,67517.578125,67246.5546875,67274.3828125,764342272
2026-03-30 07:00:00+00:00,67252.828125,67512.0078125,67193.8203125,67502.453125,364709888
2026-03-30 08:00:00+00:00,67554.953125,67830.078125,67554.953125,67619.65625,1900691456
2026-03-30 09:00:00+00:00,67616.3671875,67621.3125,67415.8359375,67453.9765625,876087296
2026-03-30 10:00:00+00:00,67448.46875,67465.34375,67341.5859375,67438.390625,31676416
2026-03-30 11:00:00+00:00,67443.2265625,67840.6015625,67443.2265625,67602.984375,788334592
2026-03-30 12:00:00+00:00,67624.53125,67919.5078125,67615.203125,67863.6015625,731158528
2026-03-30 13:00:00+00:00,67853.6953125,68069.59375,67478.3203125,67478.3203125,1306716160
2026-03-30 14:00:00+00:00,67461.21875,67811.078125,67099.046875,67757.8203125,1602723840
2026-03-30 15:00:00+00:00,67753.5625,67823.1171875,67398.2109375,67578.46875,1083797504
2026-03-30 16:00:00+00:00,67587.203125,67587.203125,67220.7421875,67274.59375,545058816
2026-03-30 17:00:00+00:00,67303.3203125,67375.0390625,66664.7890625,66727.1640625,1078489088
2026-03-30 18:00:00+00:00,66764.703125,66823.0625,66468.46875,66535.0078125,900239360
2026-03-30 19:00:00+00:00,66594.2734375,66594.2734375,66211.5234375,66424.765625,779100160
2026-03-30 20:00:00+00:00,66480.578125,66617.78125,66480.578125,66608.578125,284151808
2026-03-30 21:00:00+00:00,66594.25,66930.125,66550.0234375,66763.3046875,1011724288
2026-03-30 22:00:00+00:00,66758.3671875,66928.9453125,66650.421875,66739.3828125,0
2026-03-30 23:00:00+00:00,66735.6875,66735.6875,66378.109375,66694.5859375,0
2026-03-31 00:00:00+00:00,66727.5234375,67225.8984375,66507.421875,67084.796875,0
2026-03-31 01:00:00+00:00,67140.5390625,68292.8125,67021.2109375,67933.984375,1710804992
